KNN_RMS,KNN_MAV,KNN_VAR,SVM_RMS,SVM_MAV,SVM_VAR,LDA_RMS,LDA_MAV,LDA_VAR,RF_RMS,RF_MAV,RF_VAR,MLP_RMS,MLP_MAV,MLP_VAR,LSTM_RMS,LSTM_MAV,LSTM_VAR
79.1666666666667,80.8333333333333,66.6666666666667,81.6666666666667,83.3333333333333,66.6666666666667,78.3333333333333,83.3333333333333,61.6666666666667,75,80,78.3333333333333,80,80,68.3333333333333,83.3333333333333,84.1666666666667,70.8333333333333
70.8333333333333,80.8333333333333,60.8333333333333,85.8333333333333,84.1666666666667,70.8333333333333,82.5,89.1666666666667,69.1666666666667,76.6666666666667,80.8333333333333,78.3333333333333,78.3333333333333,78.3333333333333,75.8333333333333,87.5,90,80
81.6666666666667,80.8333333333333,80.8333333333333,86.6666666666667,85.8333333333333,78.3333333333333,89.1666666666667,87.5,75.8333333333333,90.8333333333333,86.6666666666667,85,86.6666666666667,85.8333333333333,80.8333333333333,90.8333333333333,87.5,84.1666666666667
83.3333333333333,86.6666666666667,80.8333333333333,88.3333333333333,86.6666666666667,85,85,87.5,75,81.6666666666667,83.3333333333333,81.6666666666667,82.5,85.8333333333333,81.6666666666667,90,88.3333333333333,88.3333333333333
70.8333333333333,70,60,74.1666666666667,80.8333333333333,66.6666666666667,83.3333333333333,83.3333333333333,69.1666666666667,77.5,82.5,75.8333333333333,78.3333333333333,81.6666666666667,68.3333333333333,81.6666666666667,82.5,76.6666666666667
78.3333333333333,72.5,65,84.1666666666667,83.3333333333333,77.5,85.8333333333333,86.6666666666667,75,77.5,80.8333333333333,76.6666666666667,83.3333333333333,82.5,77.5,88.3333333333333,90,85
82.5,82.5,70.8333333333333,85.8333333333333,81.6666666666667,75.8333333333333,88.3333333333333,88.3333333333333,65,85.8333333333333,81.6666666666667,87.5,82.5,86.6666666666667,77.5,90,89.1666666666667,80.8333333333333
83.3333333333333,85,76.6666666666667,86.6666666666667,89.1666666666667,81.6666666666667,96.6666666666667,94.1666666666667,78.3333333333333,88.3333333333333,87.5,85.8333333333333,90.8333333333333,88.3333333333333,80,92.5,91.6666666666667,86.6666666666667
78.3333333333333,73.3333333333333,52.5,81.6666666666667,83.3333333333333,65.8333333333333,87.5,89.1666666666667,58.3333333333333,82.5,87.5,82.5,75.8333333333333,84.1666666666667,69.1666666666667,87.5,88.3333333333333,78.3333333333333
82.5,85.8333333333333,73.3333333333333,82.5,87.5,74.1666666666667,85.8333333333333,87.5,73.3333333333333,85.8333333333333,90.8333333333333,84.1666666666667,85,87.5,79.1666666666667,91.6666666666667,91.6666666666667,85.8333333333333
