KNN_RMS,KNN_MAV,KNN_VAR,SVM_RMS,SVM_MAV,SVM_VAR,LDA_RMS,LDA_MAV,LDA_VAR,RF_RMS,RF_MAV,RF_VAR,MLP_RMS,MLP_MAV,MLP_VAR,LSTM_RMS,LSTM_MAV,LSTM_VAR
85,85.8333333333333,79.1666666666667,87.5,92.5,80,91.6666666666667,90,73.3333333333333,88.3333333333333,87.5,86.6666666666667,85,90,77.5,86.6666666666667,93.3333333333333,85.8333333333333
64.1666666666667,72.5,55,74.1666666666667,74.1666666666667,61.6666666666667,73.3333333333333,85.8333333333333,57.5,80.8333333333333,79.1666666666667,78.3333333333333,69.1666666666667,75.8333333333333,65.8333333333333,75.8333333333333,81.6666666666667,70
85,80,80.8333333333333,89.1666666666667,87.5,81.6666666666667,87.5,87.5,74.1666666666667,85,85.8333333333333,89.1666666666667,83.3333333333333,84.1666666666667,78.3333333333333,89.1666666666667,85.8333333333333,83.3333333333333
81.6666666666667,77.5,74.1666666666667,85,84.1666666666667,79.1666666666667,92.5,87.5,77.5,79.1666666666667,74.1666666666667,81.6666666666667,80,76.6666666666667,81.6666666666667,88.3333333333333,90,85.8333333333333
80.8333333333333,80,76.6666666666667,85,91.6666666666667,85,93.3333333333333,95,80.8333333333333,86.6666666666667,85,86.6666666666667,81.6666666666667,91.6666666666667,75.8333333333333,90.8333333333333,92.5,85
67.5,73.3333333333333,65.8333333333333,78.3333333333333,80,70.8333333333333,83.3333333333333,84.1666666666667,71.6666666666667,75.8333333333333,80,80,70.8333333333333,74.1666666666667,70.8333333333333,79.1666666666667,82.5,75.8333333333333
85,84.1666666666667,80,90,90.8333333333333,83.3333333333333,90,89.1666666666667,77.5,90,86.6666666666667,89.1666666666667,92.5,90.8333333333333,85.8333333333333,92.5,90.8333333333333,86.6666666666667
74.1666666666667,71.6666666666667,65.8333333333333,80.8333333333333,76.6666666666667,62.5,76.6666666666667,76.6666666666667,65.8333333333333,77.5,76.6666666666667,75.8333333333333,71.6666666666667,70.8333333333333,65.8333333333333,77.5,80,72.5
76.6666666666667,79.1666666666667,70.8333333333333,86.6666666666667,89.1666666666667,75.8333333333333,88.3333333333333,85.8333333333333,72.5,83.3333333333333,85.8333333333333,85,87.5,80.8333333333333,74.1666666666667,87.5,90.8333333333333,81.6666666666667
84.1666666666667,83.3333333333333,80,83.3333333333333,85.8333333333333,81.6666666666667,79.1666666666667,86.6666666666667,75,78.3333333333333,79.1666666666667,80,71.6666666666667,72.5,80.8333333333333,86.6666666666667,90,85
94.1666666666667,92.5,90.8333333333333,95.8333333333333,94.1666666666667,93.3333333333333,98.3333333333333,96.6666666666667,91.6666666666667,90,90.8333333333333,91.6666666666667,95,94.1666666666667,93.3333333333333,96.6666666666667,95.8333333333333,96.6666666666667
88.3333333333333,87.5,81.6666666666667,95,90,89.1666666666667,90,91.6666666666667,81.6666666666667,85.8333333333333,83.3333333333333,86.6666666666667,90,86.6666666666667,84.1666666666667,90,95,90
83.3333333333333,85.8333333333333,79.1666666666667,89.1666666666667,85,80,88.3333333333333,88.3333333333333,80,88.3333333333333,87.5,85,89.1666666666667,80.8333333333333,82.5,90.8333333333333,89.1666666666667,85
82.5,82.5,75,85,85.8333333333333,77.5,82.5,90,70.8333333333333,81.6666666666667,84.1666666666667,82.5,83.3333333333333,86.6666666666667,77.5,85.8333333333333,86.6666666666667,81.6666666666667
94.1666666666667,96.6666666666667,79.1666666666667,95.8333333333333,98.3333333333333,81.6666666666667,96.6666666666667,99.1666666666667,83.3333333333333,94.1666666666667,95,95,93.3333333333333,95,90.8333333333333,97.5,98.3333333333333,90.8333333333333
86.6666666666667,83.3333333333333,77.5,86.6666666666667,86.6666666666667,68.3333333333333,88.3333333333333,92.5,65,83.3333333333333,89.1666666666667,83.3333333333333,84.1666666666667,88.3333333333333,78.3333333333333,91.6666666666667,92.5,81.6666666666667
74.1666666666667,76.6666666666667,65.8333333333333,79.1666666666667,84.1666666666667,66.6666666666667,78.3333333333333,82.5,62.5,83.3333333333333,80.8333333333333,76.6666666666667,74.1666666666667,77.5,67.5,86.6666666666667,85.8333333333333,71.6666666666667
