KNN_RMS,KNN_MAV,KNN_VAR,SVM_RMS,SVM_MAV,SVM_VAR,LDA_RMS,LDA_MAV,LDA_VAR,RF_RMS,RF_MAV,RF_VAR,MLP_RMS,MLP_MAV,MLP_VAR,LSTM_RMS,LSTM_MAV,LSTM_VAR
67.5238095238095,70.6190476190476,59.6190476190476,76.4285714285714,74.4285714285714,64.7142857142857,79.3333333333333,77.2857142857143,63.6666666666667,79.3333333333333,81.2380952380952,81.3333333333333,68.4761904761905,63.6666666666667,69.5238095238095,78.3333333333333,82.2380952380952,72.4285714285714
57.8571428571429,58.8571428571429,46,71.4761904761905,74.5238095238095,57.7142857142857,70.5714285714286,69.4761904761905,64.7142857142857,58.7142857142857,62.7142857142857,70.5238095238095,53.7619047619048,58.9047619047619,48.952380952381,70.4761904761905,73.5238095238095,66.5238095238095
52.8571428571429,47.9523809523809,50.1428571428571,63.8095238095238,61.8095238095238,61.8571428571429,61.7619047619048,66.5238095238095,59.8571428571429,56.8095238095238,57.8571428571429,57.8571428571429,46.0952380952381,56.7619047619048,45.0476190476191,63.8095238095238,66.5238095238095,51.9047619047619
58.7619047619048,54.0952380952381,50.0476190476191,71.5238095238095,67.9047619047619,63.8095238095238,75.3809523809524,76.4285714285714,58.8095238095238,63.7619047619048,57.8095238095238,52.9047619047619,57.8095238095238,56.8095238095238,53,66.7142857142857,66.7619047619048,63.8571428571429
33.3333333333333,38.2380952380952,21.6666666666667,46,46,37.1904761904762,48,55.047619047619,35.1904761904762,64.7142857142857,59.7142857142857,59.8095238095238,38.1904761904762,41.0952380952381,29.4761904761905,52.8095238095238,51.8571428571429,34.3333333333333
48.0476190476191,45.1904761904762,45.1428571428571,57.8571428571429,51.0952380952381,53.047619047619,60.7142857142857,59.7142857142857,53.9047619047619,49.8571428571429,49,52.0476190476191,47.0952380952381,43.047619047619,36.0952380952381,70.7142857142857,56.8571428571429,59.8095238095238
14.7619047619048,12.7619047619048,10.8571428571429,21.6190476190476,17.7142857142857,19.6190476190476,20.6190476190476,23.5714285714286,19.6190476190476,17.6190476190476,13.8571428571429,12.7142857142857,14.7619047619048,11.5714285714286,18.5714285714286,18.6190476190476,19.6190476190476,19.6190476190476
81.4761904761905,73.4761904761905,66.8571428571429,80.3333333333333,77.5238095238095,71.7142857142857,81.4285714285714,90.2380952380952,72.6666666666667,80.3809523809524,75.4761904761905,74.6190476190476,69.8095238095238,73.5714285714286,69.7619047619048,84.2857142857143,86.2857142857143,76.4761904761905
74.6190476190476,66.6190476190476,68.6190476190476,80.5238095238095,79.3809523809524,75.4285714285714,82.5238095238095,86.1904761904762,74.5238095238095,87.4285714285714,82.2857142857143,81.4285714285714,78.5238095238095,80.2380952380952,68.7142857142857,89.2380952380952,86.1904761904762,83.3809523809524
28.5714285714286,32.5238095238095,21.7142857142857,31.4285714285714,38.2857142857143,29.4761904761905,34.4285714285714,27.4285714285714,32.3333333333333,37.2380952380952,40.1904761904762,35.3333333333333,25.5714285714286,31.3333333333333,28.5714285714286,27.4761904761905,42.2380952380952,31.4761904761905
70.6190476190476,73.5714285714286,60.8571428571429,75.5238095238095,72.7142857142857,73.6666666666667,85.2857142857143,86.3809523809524,71.6190476190476,78.5714285714286,76.5238095238095,77.4761904761905,71.5714285714286,74.5238095238095,68.6190476190476,84.3333333333333,87.3333333333333,83.3333333333333
